Results Based on Closing Point Spread
Note: Away and Home records may not add up to All Teams record, due to Neutral site games included in All Teams data.

All Teams	Away Teams	Home Teams
Closing Spread	Game Count	Record	Win %	Average MOV	Record	Win %	Average MOV	Record	Win %	Average MOV
-19.5	433	422-11-0	97.5%	19.82	25-1-0	96.2%	19.73	371-9-0	97.6%	19.82
-20	392	382-10-0	97.4%	20.34	19-2-0	90.5%	16.67	332-7-0	97.9%	20.96
-20.5	390	382-8-0	97.9%	21.26	10-0-0	100.0%	18.60	347-7-0	98.0%	21.56
-21	364	356-8-0	97.8%	20.83	12-1-0	92.3%	20.62	331-6-0	98.2%	21.03
-21.5	330	323-7-0	97.9%	22.39	11-1-0	91.7%	16.17	293-5-0	98.3%	22.77
-22	258	252-6-0	97.7%	21.01	10-0-0	100.0%	20.70	226-6-0	97.4%	21.00
-22.5	265	261-4-0	98.5%	23.23	7-1-0	87.5%	21.38	237-3-0	98.8%	23.41
-23	254	248-6-0	97.6%	23.69	10-0-0	100.0%	27.20	222-5-0	97.8%	23.81
-23.5	290	287-3-0	99.0%	24.53	6-0-0	100.0%	27.50	270-3-0	98.9%	24.45
-24	202	202-0-0	100.0%	24.77	4-0-0	100.0%	17.50	185-0-0	100.0%	25.01
-24.5	226	218-8-0	96.5%	25.43	4-0-0	100.0%	31.25	202-8-0	96.2%	25.37
-25	155	153-2-0	98.7%	25	5-0-0	100.0%	18.00	139-2-0	98.6%	25.41
-25.5	169	166-3-0	98.2%	25.33	2-0-0	100.0%	34.50	154-3-0	98.1%	25.24
-26	160	157-3-0	98.1%	25.64	1-0-0	100.0%	27.00	149-3-0	98.0%	26.09
-26.5	150	150-0-0	100.0%	28.05	1-0-0	100.0%	1.00	141-0-0	100.0%	28.37
-27	126	126-0-0	100.0%	27.45	2-0-0	100.0%	18.50	119-0-0	100.0%	27.56
-27.5	128	128-0-0	100.0%	30.59	1-0-0	100.0%	27.00	120-0-0	100.0%	30.56
-28	109	108-1-0	99.1%	26.52	2-0-0	100.0%	27.50	101-1-0	99.0%	26.66
-28.5	94	94-0-0	100.0%	29.85	2-0-0	100.0%	25.50	89-0-0	100.0%	29.98
-29	73	73-0-0	100.0%	32.78	--	--		70-0-0	100.0%	32.70
-29.5	87	87-0-0	100.0%	30.77	1-0-0	100.0%	18.00	82-0-0	100.0%	31.62
-30	60	60-0-0	100.0%	29.85	--	--		60-0-0	100.0%	29.85
-30.5	75	75-0-0	100.0%	29.15	1-0-0	100.0%	20.00	73-0-0	100.0%	28.82
-31	56	56-0-0	100.0%	34.32	--	--		56-0-0	100.0%	34.32
-31.5	69	68-1-0	98.6%	32.43	1-0-0	100.0%	41.00	66-1-0	98.5%	32.18
-32	45	45-0-0	100.0%	31.11	--	--		42-0-0	100.0%	31.67
-32.5	52	52-0-0	100.0%	33.5	1-0-0	100.0%	28.00	48-0-0	100.0%	33.65
-33	39	39-0-0	100.0%	37.67	--	--		36-0-0	100.0%	37.64
-33.5	37	37-0-0	100.0%	35.38	1-0-0	100.0%	46.00	36-0-0	100.0%	35.08
-34	44	44-0-0	100.0%	36.02	1-0-0	100.0%	17.00	39-0-0	100.0%	36.03
-34.5	35	35-0-0	100.0%	34.34	--	--		34-0-0	100.0%	34.68
-35	24	24-0-0	100.0%	32.33	1-0-0	100.0%	30.00	23-0-0	100.0%	32.43
-35.5	24	24-0-0	100.0%	41.46	--	--		24-0-0	100.0%	41.46
-36	20	20-0-0	100.0%	40.1	--	--		20-0-0	100.0%	40.10
-36.5	18	18-0-0	100.0%	40.39	--	--		18-0-0	100.0%	40.39
-37	19	19-0-0	100.0%	38	--	--		19-0-0	100.0%	38.00
-37.5	24	24-0-0	100.0%	37.71	--	--		24-0-0	100.0%	37.71
-38	10	10-0-0	100.0%	38.9	--	--		10-0-0	100.0%	38.90
-38.5	19	19-0-0	100.0%	37.79	--	--		19-0-0	100.0%	37.79
-39	7	7-0-0	100.0%	44.29	--	--		7-0-0	100.0%	44.29
-39.5	10	10-0-0	100.0%	31.9	--	--		10-0-0	100.0%	31.90
-40	5	5-0-0	100.0%	34	--	--		5-0-0	100.0%	34.00
-40.5	14	14-0-0	100.0%	35.93	1-0-0	100.0%	12.00	13-0-0	100.0%	37.77
-41	3	3-0-0	100.0%	35.67	--	--		3-0-0	100.0%	35.67
-41.5	9	9-0-0	100.0%	37.22	--	--		9-0-0	100.0%	37.22
-42	2	2-0-0	100.0%	41.5	--	--		2-0-0	100.0%	41.50
-42.5	15	15-0-0	100.0%	37.6	--	--		14-0-0	100.0%	38.36
-43	1	1-0-0	100.0%	64	--	--		1-0-0	100.0%	64.00
-43.5	5	5-0-0	100.0%	49	--	--		5-0-0	100.0%	49.00
-44	2	2-0-0	100.0%	43.5	--	--		2-0-0	100.0%	43.50
-44.5	6	6-0-0	100.0%	43.67	--	--		6-0-0	100.0%	43.67
-45	1	1-0-0	100.0%	64	--	--		1-0-0	100.0%	64.00
-45.5	6	6-0-0	100.0%	38.5	--	--		6-0-0	100.0%	38.50
-46.5	2	2-0-0	100.0%	43.5	--	--		2-0-0	100.0%	43.50
-47.5	2	2-0-0	100.0%	36	--	--		2-0-0	100.0%	36.00
-48	1	1-0-0	100.0%	38	--	--		1-0-0	100.0%	38.00
-48.5	4	4-0-0	100.0%	36	--	--		4-0-0	100.0%	36.00
-49.5	1	1-0-0	100.0%	47	--	--		1-0-0	100.0%	47.00
-50.5	1	1-0-0	100.0%	40	--	--		1-0-0	100.0%	40.00
-51.5	1	1-0-0	100.0%	46	--	--		1-0-0	100.0%	46.00
-52.5	2	2-0-0	100.0%	35.5	--	--		2-0-0	100.0%	35.50
-53.5	2	2-0-0	100.0%	59	--	--		2-0-0	100.0%	59.00
